# Wavelength (Å), Efficiency
2.819999999999999840e+00,8.487971208237842236e-01
2.829999999999999627e+00,8.490908087974230467e-01
2.839999999999999858e+00,8.489470751308304530e-01
2.849999999999999645e+00,8.491649022508254152e-01
2.859999999999999876e+00,8.495920223522039905e-01
2.869999999999999662e+00,8.498813368404676272e-01
2.879999999999999893e+00,8.500856420132528735e-01
2.889999999999999680e+00,8.501322132805968490e-01
2.899999999999999911e+00,8.501525895560411161e-01
2.909999999999999698e+00,8.501587870241267275e-01
2.919999999999999929e+00,8.502543392769783548e-01
2.929999999999999716e+00,8.504647407234132706e-01
2.939999999999999947e+00,8.509177811967423288e-01
2.949999999999999734e+00,8.512131040707709984e-01
2.959999999999999964e+00,8.514163356524726556e-01
2.969999999999999751e+00,8.514550882856248837e-01
2.979999999999999982e+00,8.515612411526610748e-01
2.989999999999999769e+00,8.519436667443999189e-01
3.000000000000000000e+00,8.522381796538266441e-01
3.009999999999999787e+00,8.524479629005451420e-01
3.020000000000000018e+00,8.524704524318525989e-01
3.029999999999999805e+00,8.524445580412042256e-01
3.040000000000000036e+00,8.525807259553461748e-01
3.049999999999999822e+00,8.527280861155935865e-01
3.060000000000000053e+00,8.529075937931416274e-01
3.069999999999999840e+00,8.529273743788100548e-01
3.080000000000000071e+00,8.528077518356370623e-01
3.089999999999999858e+00,8.530406550984210856e-01
3.099999999999999645e+00,8.533792686147174678e-01
3.109999999999999876e+00,8.534634276665356012e-01
3.119999999999999662e+00,8.535883899598901703e-01
3.129999999999999893e+00,8.539124333587304605e-01
3.139999999999999680e+00,8.541928000416295630e-01
3.149999999999999911e+00,8.544090408947547788e-01
3.159999999999999698e+00,8.545070813615280869e-01
3.169999999999999929e+00,8.545200759003407365e-01
3.179999999999999716e+00,8.545908573389346952e-01
3.189999999999999947e+00,8.546779461499334207e-01
3.199999999999999734e+00,8.547868587675802043e-01
3.209999999999999964e+00,8.548889324837983805e-01
3.219999999999999751e+00,8.549297195395232363e-01
3.229999999999999982e+00,8.549998918428484140e-01
3.239999999999999769e+00,8.551713765062523009e-01
3.250000000000000000e+00,8.553544281933530558e-01
3.259999999999999787e+00,8.555593799623744111e-01
3.270000000000000018e+00,8.555990584038657421e-01
3.279999999999999805e+00,8.554735057544329280e-01
3.290000000000000036e+00,8.555783388535089795e-01
3.299999999999999822e+00,8.558265639948859915e-01
3.310000000000000053e+00,8.557995532730364729e-01
3.319999999999999840e+00,8.556635515961498184e-01
