# Wavelength (Å), Efficiency
5.000000000000000000e+00,9.154221491294375346e-01
5.009999999999999787e+00,9.153036963248246671e-01
5.019999999999999574e+00,9.151858720297656458e-01
5.030000000000000249e+00,9.151030743751071839e-01
5.040000000000000036e+00,9.151507795817042101e-01
5.049999999999999822e+00,9.151981192539040411e-01
5.059999999999999609e+00,9.152161109266387928e-01
5.070000000000000284e+00,9.151683637651839565e-01
5.080000000000000071e+00,9.151208149264252745e-01
5.089999999999999858e+00,9.150299164086581616e-01
5.099999999999999645e+00,9.148705918242109325e-01
5.110000000000000320e+00,9.147121451788359225e-01
5.120000000000000107e+00,9.146289513312473307e-01
5.129999999999999893e+00,9.146366908361579506e-01
5.139999999999999680e+00,9.146443066332191618e-01
5.149999999999999467e+00,9.145885802445397061e-01
5.160000000000000142e+00,9.144693506891965473e-01
5.169999999999999929e+00,9.143507581845262688e-01
5.179999999999999716e+00,9.141882963478360491e-01
5.189999999999999503e+00,9.139868780996688313e-01
5.200000000000000178e+00,9.137865779809989375e-01
5.209999999999999964e+00,9.136737104047351066e-01
5.219999999999999751e+00,9.136349153461011952e-01
5.229999999999999538e+00,9.135962839578805061e-01
5.240000000000000213e+00,9.136155058570285536e-01
5.250000000000000000e+00,9.136845880860756663e-01
5.259999999999999787e+00,9.137532098704258532e-01
5.269999999999999574e+00,9.136917735599732193e-01
5.280000000000000249e+00,9.135078755820021934e-01
5.290000000000000036e+00,9.133249951187313309e-01
5.299999999999999822e+00,9.131839542066982895e-01
5.309999999999999609e+00,9.130889561240672636e-01
5.320000000000000284e+00,9.129944389728674725e-01
5.330000000000000071e+00,9.129615962695138975e-01
5.339999999999999858e+00,9.130144187195206040e-01
5.349999999999999645e+00,9.130668930492980007e-01
5.360000000000000320e+00,9.130710143008817781e-01
5.370000000000000107e+00,9.129828525501006986e-01
5.379999999999999893e+00,9.128951411026591245e-01
5.389999999999999680e+00,9.128018077462372037e-01
5.399999999999999467e+00,9.126907306247380447e-01
5.410000000000000142e+00,9.125802297144054442e-01
5.419999999999999929e+00,9.124597466483159725e-01
5.429999999999999716e+00,9.122747600914368205e-01
5.439999999999999503e+00,9.120907723413200774e-01
5.450000000000000178e+00,9.119098571024402133e-01
5.459999999999999964e+00,9.119178596155101957e-01
5.469999999999999751e+00,9.119257785182601772e-01
5.479999999999999538e+00,9.119336153219631536e-01
5.490000000000000213e+00,9.118711294314033600e-01
5.500000000000000000e+00,9.117979755400756892e-01
5.509999999999999787e+00,9.117251765228364668e-01
5.519999999999999574e+00,9.116436074666929290e-01
5.530000000000000249e+00,9.115585469250315764e-01
5.540000000000000036e+00,9.114739095226707111e-01
5.549999999999999822e+00,9.113620021003321359e-01
5.559999999999999609e+00,9.112249281206236118e-01
5.570000000000000284e+00,9.110885690599320741e-01
5.580000000000000071e+00,9.109546524765568254e-01
5.589999999999999858e+00,9.108251642843367968e-01
5.599999999999999645e+00,9.106963507882241959e-01
5.610000000000000320e+00,9.105827136338713323e-01
5.620000000000000107e+00,9.106044145685239233e-01
5.629999999999999893e+00,9.106259636187473694e-01
5.639999999999999680e+00,9.106473627228470757e-01
5.649999999999999467e+00,9.106858576211578349e-01
5.660000000000000142e+00,9.107269426507160759e-01
5.669999999999999929e+00,9.107677781437937270e-01
5.679999999999999716e+00,9.106937124400130701e-01
5.689999999999999503e+00,9.105444201285193273e-01
5.700000000000000178e+00,9.103959039779964124e-01
5.709999999999999964e+00,9.102323307534999630e-01
5.719999999999999751e+00,9.100370333737273221e-01
5.729999999999999538e+00,9.098427662536741067e-01
5.740000000000000213e+00,9.096564120386981811e-01
5.750000000000000000e+00,9.096799842630113320e-01
5.759999999999999787e+00,9.097034034279919412e-01
5.769999999999999574e+00,9.097266713160868656e-01
5.780000000000000249e+00,9.096749307002600649e-01
5.790000000000000036e+00,9.095941501897831793e-01
5.799999999999999822e+00,9.095137654020858387e-01
